Node ID,URLv4:,eth,id,ASN_number,organization,country,city,ip,secp256k1,tcp,udp,les,udp6,cap,Name,Caps
 194b1d60068809bd58d441a3f70552590c7e1dab35006c45a69d8dabe316e7f0,enode://96b3cf7fa8dccf770b6b06f6f61a5f4066849493ff082c6f275970b7495a7bee96142f55efcc7488fe26aed3f24199089453b422c3dbf9e1d213ab46d8b280a1@3.128.228.146:30303,c7c684c25efa5c80,v4,16509,AMAZON-02,United States,Columbus,3.128.228.146,a10396b3cf7fa8dccf770b6b06f6f61a5f4066849493ff082c6f275970b7495a7bee,30303,30303,,,,,
 1954583cae158790cc6a0660ee9131698dde617af0355d4a266f4953ea8ebfd5,enode://3dc119b3e6e86a35eeb81ad2bfd7ca0bbaf62bd784c19cf5a50a20fc65a367579fe95d224e1bc86b1f8af4b03375a64eb0c08d5a53c394a4167c3ceede36007f@3.210.35.97:20638,c7c68474389cd480,v4,14618,AMAZON-AES,United States,,3.210.35.97,a1033dc119b3e6e86a35eeb81ad2bfd7ca0bbaf62bd784c19cf5a50a20fc65a36757,20638,20638,c0,,,,
 19630b012d256de18d4d52ff1c485aec6a6edec7f86910e5722d0411f7b00508,enode://19841e41a8e648eb64126edfd7f234b34578f0d041eb42a32b275b34c6c09934069ead59a7e1ab2b9ce000486566000232a87c3f09f37074a3e0bcc5e30ec417@95.217.203.43:30303,,v4,24940,Hetzner Online GmbH,Finland,Helsinki,95.217.203.43,a10319841e41a8e648eb64126edfd7f234b34578f0d041eb42a32b275b34c6c09934,30303,30303,,,,,
 1965627cbce8451dbcd2750658f6a0f61bd3ec94bf0799dd53c1457282929012,enode://dfac17074ed41650312e50e47ce1b593139a19a2321cd20f8a6556f298af19ab4af81bf1a5212c2b35e99844bdb2842d3f17d0788ed5257805bc530dbd9b0d7c@185.8.166.157:30305,c7c684e615830180,v4,24971,Master Internet s.r.o.,Czechia,,185.8.166.157,a102dfac17074ed41650312e50e47ce1b593139a19a2321cd20f8a6556f298af19ab,30305,30305,,,,,
 1999cb5d0e7e73075326b0f7fd7bda83228d7f54987185dc14a6c471518cff0c,enode://51deb114865e61f182a3a830ed5679c8794c84978f7af1034ceedcdb9720f64d76570cd14950edc9aacbd8462acc2d5804fb98e2fbd7f6d3add8e77ea9f43609@54.233.237.165:20638,c7c6840b2c787680,v4,16509,AMAZON-02,Brazil,São Paulo,54.233.237.165,a10351deb114865e61f182a3a830ed5679c8794c84978f7af1034ceedcdb9720f64d,20638,20638,,,,,
 19c646be479bf592530d2c72f644327aafa0ad4b4c50b7c396dd5111216bbd71,enode://d947d48c44717de05fcf8323aed42523776d091a3a964c64e269e7b355d65eb69731f257aed220ad4504606d2fd546efe6217a70d710e1a8433e75a39cfb5556@95.111.253.100:30303,c7c684c25efa5c80,v4,51167,Contabo GmbH,Germany,Nuremberg,95.111.253.100,a102d947d48c44717de05fcf8323aed42523776d091a3a964c64e269e7b355d65eb6,30303,30303,,,,,
 19d25fe4ad1c51cd33501696e5718730f8aa8899bdf493ce18ca1fe5b9ccbf97,enode://4c1a95cb65fa374cf1ca1c92d67245763917cb47d599304d866e7dfb2d126e08a7ebca3dee10578f3a4fa7af70eec2a3fd6ad7b316df111760f308aa57f71b08@142.93.241.77:30303,c7c6846727ef9080,v4,14061,DIGITALOCEAN-ASN,United States,North Bergen,142.93.241.77,a1024c1a95cb65fa374cf1ca1c92d67245763917cb47d599304d866e7dfb2d126e08,30303,30303,,,,,
 19ecf5d0146f86f8f73abc07091771df781e699f9cd04cef3eaa1907f71b679c,enode://2b09f4c5d7817a9eaa63f7bb4fde5517133df3c65fdb848ce5c7c789407df714d4553a9c652bca01d917bd63bc064bb5e261b116c416714a218dcde42093c89b@167.99.162.43:30305,c7c684e615830180,v4,14061,DIGITALOCEAN-ASN,United States,Santa Clara,167.99.162.43,a1032b09f4c5d7817a9eaa63f7bb4fde5517133df3c65fdb848ce5c7c789407df714,30305,30305,,,,,
 19ef57e38f31ceb36838e6db1c96c67ba77c23c5b6fc2438187a90f573b315a5,enode://f3cfe935d18a580f95ebb2c509ae3a4cdd9c8a970f154b8bf358ff425e389f30a17a767840f6adf52212c5ad1669e6afe8fcc0b846ac71be183f074a25c3b637@161.97.77.26:30305,c7c684e615830180,v4,51167,Contabo GmbH,Germany,Nuremberg,161.97.77.26,a103f3cfe935d18a580f95ebb2c509ae3a4cdd9c8a970f154b8bf358ff425e389f30,30305,30305,,,,,
 19f72d8917f9e7791dbffcc29a911c96f3962bf9891ea1241ca82d95db68ed3f,enode://a8c706430171a12fd972fe635061b7442845a5aae4d7d50c7b42dde9db9e9678a5db81e38b20ae30e49ee10718be97ff885d3451303b00cc8dd5f91c2c493ab5@188.225.80.109:30303,,v4,9123,TimeWeb Ltd.,Russia,,188.225.80.109,a103a8c706430171a12fd972fe635061b7442845a5aae4d7d50c7b42dde9db9e9678,30303,30303,,,,,
